Date,rain
1972-01-01,-9.197
1972-01-02,-10.505
1972-01-03,-11.255
1972-01-04,-10.658
1972-01-05,-9.608
1972-01-06,-9.046
1972-01-07,-9.787
1972-01-08,-9.758
1972-01-09,-10.756
1972-01-10,-11.651
1972-01-11,-11.021
1972-01-12,-8.639
1972-01-13,-8.722
1972-01-14,-8.337
1972-01-15,-7.599
1972-01-16,-7.412
1972-01-17,-4.045
1972-01-18,-4.269
1972-01-19,-4.43
1972-01-20,-7.446
1972-01-21,-9.962
1972-01-22,-10.53
1972-01-23,-9.371
1972-01-24,-5.91
1972-01-25,-6.203
1972-01-26,-8.055
1972-01-27,-7.527
1972-01-28,-8.504
1972-01-29,-8.484
1972-01-30,-10.029
1972-01-31,-8.668
1972-02-01,-10.082
1972-02-02,-9.019
1972-02-03,-7.996
1972-02-04,-4.259
1972-02-05,-8.808
1972-02-06,-8.498
1972-02-07,-8.879
1972-02-08,-6.838
1972-02-09,-5.633
1972-02-10,-6.256
1972-02-11,-9.795
1972-02-12,-10.126
1972-02-13,-8.972
1972-02-14,-5.547
1972-02-15,-1.941
1972-02-16,-3.436
1972-02-17,-5.716
1972-02-18,-7.011
1972-02-19,-6.805
1972-02-20,-6.31
1972-02-21,-7.085
1972-02-22,-10.159
1972-02-23,-11.407
1972-02-24,-10.352
1972-02-25,-10.379
1972-02-26,-9.661
1972-02-27,-9.703
1972-02-28,-9.966
1972-02-29,-8.744
1972-03-01,-8.587
1972-03-02,-7.051
1972-03-03,-8.87
1972-03-04,-10.697
1972-03-05,-11.511
1972-03-06,-10.398
1972-03-07,-9.402
1972-03-08,-7.416
1972-03-09,-5.617
1972-03-10,-7.757
1972-03-11,-10.311
1972-03-12,-12.345
1972-03-13,-10.334
1972-03-14,-8.912
1972-03-15,-9.658
1972-03-16,-11.077
1972-03-17,-10.086
1972-03-18,-9.345
1972-03-19,-10.992
1972-03-20,-11.894
1972-03-21,-10.318
1972-03-22,-9.161
1972-03-23,-7.872
1972-03-24,-8.529
1972-03-25,-8.628
1972-03-26,-9.886
1972-03-27,-10.831
1972-03-28,-12.403
1972-03-29,-11.706
1972-03-30,-11.6
1972-03-31,-10.8
1972-04-01,-8.859
1972-04-02,-9.31
1972-04-03,-9.576
1972-04-04,-9.851
1972-04-05,-8.618
1972-04-06,-8.568
1972-04-07,-7.124
1972-04-08,-5.207
1972-04-09,-5.999
1972-04-10,-4.743
1972-04-11,-6.268
1972-04-12,-8.38
1972-04-13,-8.474
1972-04-14,-8.624
1972-04-15,-8.299
1972-04-16,-9.33
1972-04-17,-9.164
1972-04-18,-10.435
1972-04-19,-7.743
1972-04-20,-6.61
1972-04-21,-7.546
1972-04-22,-9.048
1972-04-23,-10.057
1972-04-24,-10.13
1972-04-25,-11.345
1972-04-26,-11.577
1972-04-27,-13.965
1972-04-28,-11.969
1972-04-29,-11.032
1972-04-30,-9.814
1972-05-01,-7.016
1972-05-02,-5.071
1972-05-03,-4.305
1972-05-04,-4.379
1972-05-05,-5.809
1972-05-06,-6.741
1972-05-07,-6.78
1972-05-08,-7.71
1972-05-09,-7.679
1972-05-10,-5.66
1972-05-11,-4.58
1972-05-12,-4.954
1972-05-13,-6.212
1972-05-14,-3.374
1972-05-15,-3.371
1972-05-16,-4.863
1972-05-17,-3.832
1972-05-18,-4.572
1972-05-19,-7.911
1972-05-20,-7.307
1972-05-21,-6.298
1972-05-22,-4.694
1972-05-23,-4.645
1972-05-24,-4.794
1972-05-25,-3.975
1972-05-26,-5.948
1972-05-27,-5.646
1972-05-28,-4.274
1972-05-29,-2.73
1972-05-30,-2.538
1972-05-31,-3.036
1972-06-01,-5.311
1972-06-02,-4.278
1972-06-03,-3.854
1972-06-04,-3.412
1972-06-05,-3.514
1972-06-06,-3.316
1972-06-07,-4.079
1972-06-08,-2.284
1972-06-09,-0.24
1972-06-10,-0.988
1972-06-11,-0.2
1972-06-12,0.856
1972-06-13,-0.174
1972-06-14,-0.037
1972-06-15,1.492
1972-06-16,1.056
1972-06-17,1.854
1972-06-18,5.039
1972-06-19,6.796
1972-06-20,8.129
1972-06-21,8.781
1972-06-22,10.042
1972-06-23,12.954
1972-06-24,13.814
1972-06-25,13.898
1972-06-26,14.798
1972-06-27,17.325
1972-06-28,16.933
1972-06-29,18.506
1972-06-30,20.726
1972-07-01,20.049
1972-07-02,15.245
1972-07-03,8.787
1972-07-04,7.72
1972-07-05,10.323
1972-07-06,14.357
1972-07-07,13.69
1972-07-08,11.022
1972-07-09,7.606
1972-07-10,4.199
1972-07-11,2.038
1972-07-12,4.667
1972-07-13,7.639
1972-07-14,10.396
1972-07-15,11.146
1972-07-16,9.643
1972-07-17,6.993
1972-07-18,5.457
1972-07-19,4.939
1972-07-20,4.949
1972-07-21,3.975
1972-07-22,5.123
1972-07-23,4.824
1972-07-24,2.314
1972-07-25,2.133
1972-07-26,2.638
1972-07-27,4.217
1972-07-28,4.722
1972-07-29,3.829
1972-07-30,3.919
1972-07-31,6.269
1972-08-01,8.052
1972-08-02,8.599
1972-08-03,9.363
1972-08-04,8.464
1972-08-05,7.599
1972-08-06,8.763
1972-08-07,9.479
1972-08-08,8.068
1972-08-09,4.644
1972-08-10,4.388
1972-08-11,5.724
1972-08-12,5.435
1972-08-13,8.979
1972-08-14,10.497
1972-08-15,8.735
1972-08-16,7.246
1972-08-17,5.985
1972-08-18,7.592
1972-08-19,8.323
1972-08-20,6.088
1972-08-21,5.849
1972-08-22,5.903
1972-08-23,4.43
1972-08-24,2.875
1972-08-25,3.397
1972-08-26,2.691
1972-08-27,2.475
1972-08-28,2.456
1972-08-29,3.507
1972-08-30,4.256
1972-08-31,3.55
1972-09-01,1.87
1972-09-02,-1.716
1972-09-03,-2.619
1972-09-04,-1.892
1972-09-05,-0.211
1972-09-06,1.639
1972-09-07,4.453
1972-09-08,5.828
1972-09-09,8.44
1972-09-10,10.468
1972-09-11,13.422
1972-09-12,11.47
1972-09-13,7.482
1972-09-14,3.968
1972-09-15,0.63
1972-09-16,-0.039
1972-09-17,-0.383
1972-09-18,0.31
1972-09-19,1.634
1972-09-20,1.415
1972-09-21,2.017
1972-09-22,3.399
1972-09-23,2.248
1972-09-24,1.923
1972-09-25,-0.545
1972-09-26,-1.625
1972-09-27,-1.444
1972-09-28,-1.854
1972-09-29,-3.457
1972-09-30,-3.453
1972-10-01,-3.171
1972-10-02,-1.089
1972-10-03,-0.168
1972-10-04,1.872
1972-10-05,1.963
1972-10-06,0.893
1972-10-07,-1.618
1972-10-08,-1.922
1972-10-09,-2.128
1972-10-10,-4.102
1972-10-11,-5.4
1972-10-12,-5.455
1972-10-13,-4.737
1972-10-14,-3.398
1972-10-15,-2.753
1972-10-16,-2.612
1972-10-17,-3.014
1972-10-18,-4.427
1972-10-19,-3.997
1972-10-20,-4.182
1972-10-21,-4.549
1972-10-22,-4.629
1972-10-23,-3.976
1972-10-24,-3.948
1972-10-25,-3.205
1972-10-26,-3.086
1972-10-27,-1.863
1972-10-28,-1.812
1972-10-29,-4.434
1972-10-30,-2.266
1972-10-31,-1.752
1972-11-01,-3.479
1972-11-02,-3.063
1972-11-03,-2.324
1972-11-04,-3.394
1972-11-05,-3.209
1972-11-06,-1.82
1972-11-07,-3.978
1972-11-08,-4.985
1972-11-09,-6.709
1972-11-10,-5.613
1972-11-11,-5.884
1972-11-12,-6.592
1972-11-13,-6.662
1972-11-14,-5.178
1972-11-15,-4.743
1972-11-16,-3.657
1972-11-17,-3.33
1972-11-18,-4.184
1972-11-19,-4.634
1972-11-20,-4.571
1972-11-21,-5.141
1972-11-22,-5.431
1972-11-23,-5.386
1972-11-24,-3.845
1972-11-25,-3.104
1972-11-26,-4.161
1972-11-27,-4.117
1972-11-28,-4.008
1972-11-29,-4.652
1972-11-30,-3.984
1972-12-01,-2.495
1972-12-02,-0.848
1972-12-03,-0.649
1972-12-04,-2.539
1972-12-05,-3.113
1972-12-06,-2.068
1972-12-07,-3.755
1972-12-08,-5.023
1972-12-09,-4.825
1972-12-10,-4.672
1972-12-11,-5.657
1972-12-12,-8.24
1972-12-13,-8.99
1972-12-14,-8.429
1972-12-15,-8.442
1972-12-16,-8.636
1972-12-17,-8.715
1972-12-18,-8.217
1972-12-19,-7.747
1972-12-20,-7.298
1972-12-21,-6.881
1972-12-22,-7.469
1972-12-23,-7.912
1972-12-24,-8.287
1972-12-25,-9.109
1972-12-26,-10.517
1972-12-27,-11.852
1972-12-28,-13.91
1972-12-29,-12.506
